Radiologist ID,Date,Avg Temp (°C),Rainfall (mm),Travel Cost (£),Internet Issues at Home,Trainee Assigned,Supervised Session,Cold Session,Admin Work,Morning Shift Work Location,Afternoon Shift Work Location
R10,2023-07-13,16.9465,1.0,9.8,No,No,No,No,No,office,home
R11,2023-07-13,16.9465,1.0,12.24,No,No,No,No,No,office,office
R1,2023-07-14,16.240252,16.3,12.73,No,No,No,No,No,office,office
R2,2023-07-14,16.240252,16.3,20.98,No,No,No,No,No,home,home
R3,2023-07-14,16.240252,16.3,9.35,No,No,No,No,Yes,home,home
R4,2023-07-14,16.240252,16.3,11.27,No,No,No,No,Yes,home,home
R5,2023-07-14,16.240252,16.3,22.57,No,No,No,No,No,home,office
R6,2023-07-14,16.240252,16.3,23.31,No,No,No,No,No,office,home
R7,2023-07-14,16.240252,16.3,15.86,No,No,No,No,Yes,office,home
R8,2023-07-14,16.240252,16.3,7.66,No,Yes,No,No,Yes,office,office
R9,2023-07-14,16.240252,16.3,12.78,No,Yes,No,No,No,office,office
R10,2023-07-14,16.240252,16.3,9.8,No,No,No,No,No,office,home
R11,2023-07-14,16.240252,16.3,8.68,No,No,No,No,No,home,home
R1,2023-07-17,16.22775,2.2999997,8.01,No,No,No,No,Yes,office,home
R2,2023-07-17,16.22775,2.2999997,13.41,No,No,No,No,No,home,home
R3,2023-07-17,16.22775,2.2999997,8.32,No,No,No,No,No,home,home
R4,2023-07-17,16.22775,2.2999997,14.96,No,No,No,No,No,home,office
R5,2023-07-17,16.22775,2.2999997,7.75,No,No,No,No,No,office,office
R6,2023-07-17,16.22775,2.2999997,10.37,Yes,No,No,No,No,office,office
R7,2023-07-17,16.22775,2.2999997,12.41,No,No,No,No,No,office,office
R8,2023-07-17,16.22775,2.2999997,7.66,No,No,No,No,No,home,home
R9,2023-07-17,16.22775,2.2999997,11.8,No,No,No,No,No,home,home
R10,2023-07-17,16.22775,2.2999997,9.8,No,Yes,No,No,No,office,office
R11,2023-07-17,16.22775,2.2999997,8.68,No,Yes,No,No,No,office,office
R1,2023-07-18,16.727749,0.0,8.01,No,Yes,No,No,No,office,office
R2,2023-07-18,16.727749,0.0,13.41,No,Yes,No,No,Yes,office,office
R3,2023-07-18,16.727749,0.0,5.8,No,No,No,No,Yes,home,office
R4,2023-07-18,16.727749,0.0,13.22,No,No,No,No,No,home,office
R5,2023-07-18,16.727749,0.0,9.77,No,No,No,No,No,office,office
R6,2023-07-18,16.727749,0.0,11.01,No,No,No,No,No,office,office
R7,2023-07-18,16.727749,0.0,6.8,No,No,No,No,No,office,office
R8,2023-07-18,16.727749,0.0,8.68,No,No,No,No,No,office,home
R9,2023-07-18,16.727749,0.0,6.07,No,No,No,No,No,home,home
R10,2023-07-18,16.727749,0.0,6.18,No,No,No,No,Yes,office,home
R11,2023-07-18,16.727749,0.0,8.68,No,No,No,No,No,home,office
R1,2023-07-19,15.8965,7.3,10.2,No,No,No,No,No,office,home
R2,2023-07-19,15.8965,7.3,13.41,No,No,No,No,No,office,home
R3,2023-07-19,15.8965,7.3,8.32,No,Yes,No,No,No,office,office
R4,2023-07-19,15.8965,7.3,11.27,No,Yes,No,No,No,office,office
R5,2023-07-19,15.8965,7.3,13.06,Yes,No,No,No,No,office,office
R6,2023-07-19,15.8965,7.3,11.01,No,No,No,No,No,office,home
R7,2023-07-19,15.8965,7.3,12.98,No,No,No,No,Yes,home,office
R8,2023-07-19,15.8965,7.3,7.66,No,No,No,No,No,home,home
R9,2023-07-19,15.8965,7.3,12.36,No,No,No,No,Yes,home,office
R10,2023-07-19,15.8965,7.3,9.8,No,No,No,No,No,office,home
R11,2023-07-19,15.8965,7.3,10.99,No,No,No,No,Yes,office,home
R1,2023-07-20,15.481918,1.1,8.01,No,No,No,No,No,home,office
R2,2023-07-20,15.481918,1.1,13.97,No,No,No,No,No,office,home
R3,2023-07-20,15.481918,1.1,8.32,No,No,No,No,No,office,office
R4,2023-07-20,15.481918,1.1,7.34,No,No,No,No,No,home,office
R5,2023-07-20,15.481918,1.1,9.22,No,Yes,No,No,No,office,office
R6,2023-07-20,15.481918,1.1,11.01,No,Yes,No,No,No,office,office
R7,2023-07-20,15.481918,1.1,12.41,No,No,No,No,No,home,home
R8,2023-07-20,15.481918,1.1,7.66,No,No,No,No,No,home,home
R9,2023-07-20,15.481918,1.1,11.23,No,No,No,No,No,office,home
R10,2023-07-20,15.481918,1.1,9.8,No,No,No,No,No,office,home
R11,2023-07-20,15.481918,1.1,8.68,No,No,No,No,No,home,office
R1,2023-07-21,14.556918,4.5,8.01,No,No,No,No,No,home,home
R2,2023-07-21,14.556918,4.5,13.41,No,No,No,No,No,office,home
R3,2023-07-21,14.556918,4.5,11.86,No,No,No,No,No,office,home
R4,2023-07-21,14.556918,4.5,11.27,No,No,No,No,Yes,home,home
R5,2023-07-21,14.556918,4.5,9.11,No,No,No,No,Yes,home,home
R6,2023-07-21,14.556918,4.5,5.16,Yes,No,No,No,Yes,office,office
R7,2023-07-21,14.556918,4.5,12.41,No,Yes,No,No,No,office,office
R8,2023-07-21,14.556918,4.5,7.66,No,Yes,No,No,Yes,office,office
R9,2023-07-21,14.556918,4.5,13.67,No,No,No,No,No,home,office
R10,2023-07-21,14.556918,4.5,9.8,No,No,No,No,No,office,home
R11,2023-07-21,14.556918,4.5,6.3,No,No,No,No,No,home,home
R1,2023-07-24,14.627749,0.6,8.01,No,No,No,No,No,home,office
R2,2023-07-24,14.627749,0.6,13.41,No,No,No,No,No,home,office
R3,2023-07-24,14.627749,0.6,8.45,No,No,No,No,No,home,office
R4,2023-07-24,14.627749,0.6,11.27,Yes,No,No,No,No,office,office
R5,2023-07-24,14.627749,0.6,9.77,No,No,No,No,No,office,office
R6,2023-07-24,14.627749,0.6,14.78,No,No,No,No,Yes,home,office
R7,2023-07-24,14.627749,0.6,12.41,No,No,No,No,Yes,home,office
R8,2023-07-24,14.627749,0.6,6.89,No,No,No,No,No,home,office
R9,2023-07-24,14.627749,0.6,11.4,No,Yes,No,No,No,office,office
R10,2023-07-24,14.627749,0.6,13.53,No,Yes,No,No,No,office,office
R11,2023-07-24,14.627749,0.6,8.68,No,No,No,No,No,office,home
R1,2023-07-25,14.021501,0.2,8.01,No,Yes,No,No,No,office,office
R2,2023-07-25,14.021501,0.2,13.41,No,No,No,No,No,office,home
R3,2023-07-25,14.021501,0.2,8.32,No,No,No,No,No,home,home
R4,2023-07-25,14.021501,0.2,8.41,No,No,No,No,No,office,office
R5,2023-07-25,14.021501,0.2,9.58,No,No,No,No,No,office,home
R6,2023-07-25,14.021501,0.2,11.01,No,No,No,No,No,office,home
R7,2023-07-25,14.021501,0.2,10.67,No,No,No,No,No,home,home
R8,2023-07-25,14.021501,0.2,7.66,No,No,No,No,No,office,office
R9,2023-07-25,14.021501,0.2,5.18,No,No,No,No,No,home,office
R10,2023-07-25,14.021501,0.2,9.8,No,No,No,No,Yes,office,home
R11,2023-07-25,14.021501,0.2,10.59,No,Yes,No,No,No,office,office
R1,2023-07-26,16.123583,4.8999996,9.15,No,No,No,No,No,home,office
R2,2023-07-26,16.123583,4.8999996,13.41,No,Yes,No,No,No,office,office
R3,2023-07-26,16.123583,4.8999996,8.32,No,Yes,No,No,No,office,office
R4,2023-07-26,16.123583,4.8999996,11.27,No,No,No,No,Yes,office,office
R5,2023-07-26,16.123583,4.8999996,9.77,No,No,No,No,No,home,office
R6,2023-07-26,16.123583,4.8999996,11.78,No,No,No,No,No,home,office
R7,2023-07-26,16.123583,4.8999996,12.41,No,No,No,No,No,home,home
R8,2023-07-26,16.123583,4.8999996,7.66,No,No,No,No,No,home,home
R9,2023-07-26,16.123583,4.8999996,10.41,Yes,No,No,No,No,office,office
R10,2023-07-26,16.123583,4.8999996,5.2,No,No,No,No,No,office,home
R11,2023-07-26,16.123583,4.8999996,13.58,No,No,No,No,Yes,office,home
R1,2023-07-27,18.709002,7.799999,8.01,No,No,No,No,Yes,home,office
R2,2023-07-27,18.709002,7.799999,13.41,No,No,No,No,Yes,office,office
R3,2023-07-27,18.709002,7.799999,8.32,No,No,No,No,No,office,home
R4,2023-07-27,18.709002,7.799999,8.07,Yes,Yes,No,No,No,office,office
R5,2023-07-27,18.709002,7.799999,14.45,No,Yes,No,No,Yes,office,office
R6,2023-07-27,18.709002,7.799999,11.01,No,No,No,No,No,office,office
R7,2023-07-27,18.709002,7.799999,11.09,No,No,No,No,No,home,home
R8,2023-07-27,18.709002,7.799999,7.66,No,No,No,No,Yes,home,home
R9,2023-07-27,18.709002,7.799999,5.18,Yes,No,No,No,No,office,office
R10,2023-07-27,18.709002,7.799999,9.8,No,No,No,No,No,office,home
R11,2023-07-27,18.709002,7.799999,7.63,Yes,No,No,No,No,office,office
R1,2023-07-28,18.625671,0.5,7.71,No,No,No,No,No,office,office
R2,2023-07-28,18.625671,0.5,13.41,No,No,No,No,No,home,home
R3,2023-07-28,18.625671,0.5,8.32,No,No,No,No,Yes,home,office
R4,2023-07-28,18.625671,0.5,11.27,No,No,No,No,No,office,home
R5,2023-07-28,18.625671,0.5,11.84,No,No,No,No,No,home,home
R6,2023-07-28,18.625671,0.5,12.45,No,Yes,No,No,No,office,office
R7,2023-07-28,18.625671,0.5,12.41,No,Yes,No,No,No,office,office
R8,2023-07-28,18.625671,0.5,9.25,No,No,No,No,No,home,home
R9,2023-07-28,18.625671,0.5,5.18,No,No,No,No,Yes,home,home
R10,2023-07-28,18.625671,0.5,9.8,No,No,No,No,No,office,home
R11,2023-07-28,18.625671,0.5,8.68,No,No,No,No,No,home,office
R1,2023-07-31,17.748585,3.1,8.01,No,No,No,No,No,home,office
R2,2023-07-31,17.748585,3.1,14.31,No,No,No,No,No,home,office
R3,2023-07-31,17.748585,3.1,8.32,No,No,No,No,No,home,home
R4,2023-07-31,17.748585,3.1,13.54,No,No,No,No,No,office,office
R5,2023-07-31,17.748585,3.1,9.77,No,No,No,No,Yes,home,office
R6,2023-07-31,17.748585,3.1,12.45,No,No,No,No,Yes,office,home
R7,2023-07-31,17.748585,3.1,10.71,No,No,No,No,No,office,office
R8,2023-07-31,17.748585,3.1,7.66,No,Yes,No,No,No,office,office
R9,2023-07-31,17.748585,3.1,12.34,No,Yes,No,No,Yes,office,office
R10,2023-07-31,17.748585,3.1,11.4,No,No,No,No,No,office,home
R11,2023-07-31,17.748585,3.1,8.68,No,No,No,No,No,home,home
R1,2023-08-01,16.769417,0.8000001,8.01,No,No,No,No,No,home,home
R2,2023-08-01,16.769417,0.8000001,10.95,No,No,No,No,No,office,home
R3,2023-08-01,16.769417,0.8000001,8.32,No,No,No,No,No,office,office
R4,2023-08-01,16.769417,0.8000001,11.27,Yes,No,No,No,No,office,office
R5,2023-08-01,16.769417,0.8000001,9.77,No,No,No,No,No,office,home
R6,2023-08-01,16.769417,0.8000001,11.01,No,No,No,No,No,office,home
R7,2023-08-01,16.769417,0.8000001,12.41,No,No,No,No,No,office,home
R8,2023-08-01,16.769417,0.8000001,7.66,No,No,No,No,Yes,home,office
R9,2023-08-01,16.769417,0.8000001,5.18,No,No,No,No,No,home,home
R10,2023-08-01,16.769417,0.8000001,9.8,No,Yes,No,No,No,office,office
R11,2023-08-01,16.769417,0.8000001,11.67,No,Yes,No,No,No,office,office
R1,2023-08-02,17.467333,10.400001,8.78,No,Yes,No,No,Yes,office,office
R2,2023-08-02,17.467333,10.400001,9.84,No,Yes,No,No,Yes,office,office
R3,2023-08-02,17.467333,10.400001,8.26,No,No,No,No,No,office,home
R4,2023-08-02,17.467333,10.400001,11.27,No,No,No,No,No,home,office
R5,2023-08-02,17.467333,10.400001,9.77,No,No,No,No,No,office,home
R6,2023-08-02,17.467333,10.400001,9.27,No,No,No,No,No,office,home
R7,2023-08-02,17.467333,10.400001,12.41,No,No,No,No,No,office,office
R8,2023-08-02,17.467333,10.400001,8.23,No,No,No,No,No,home,home
R9,2023-08-02,17.467333,10.400001,8.8,No,No,No,No,No,office,home
R10,2023-08-02,17.467333,10.400001,9.8,No,No,No,No,No,office,home
R11,2023-08-02,17.467333,10.400001,6.74,No,No,No,No,No,office,office
R1,2023-08-03,16.050669,6.199999,11.43,No,No,No,No,No,home,home
R2,2023-08-03,16.050669,6.199999,12.15,No,No,No,No,No,home,home
R3,2023-08-03,16.050669,6.199999,8.32,Yes,Yes,No,No,Yes,office,office
R4,2023-08-03,16.050669,6.199999,11.27,No,Yes,No,No,Yes,office,office
R5,2023-08-03,16.050669,6.199999,6.16,No,No,No,No,No,office,office
R6,2023-08-03,16.050669,6.199999,11.01,Yes,No,No,No,No,office,office
R7,2023-08-03,16.050669,6.199999,14.94,No,No,No,No,No,home,home
R8,2023-08-03,16.050669,6.199999,5.16,No,No,No,No,No,home,home
R9,2023-08-03,16.050669,6.199999,5.18,No,No,No,No,No,home,home
R10,2023-08-03,16.050669,6.199999,6.38,No,No,No,No,Yes,office,home
R11,2023-08-03,16.050669,6.199999,7.94,No,No,No,No,Yes,home,office
R1,2023-08-04,15.934001,2.1999998,8.01,No,No,No,No,No,home,home
R2,2023-08-04,15.934001,2.1999998,13.41,No,No,No,No,No,home,home
R3,2023-08-04,15.934001,2.1999998,8.32,No,No,No,No,No,office,home
R4,2023-08-04,15.934001,2.1999998,11.27,No,No,No,No,No,home,office
R5,2023-08-04,15.934001,2.1999998,9.77,No,Yes,No,No,No,office,office
R6,2023-08-04,15.934001,2.1999998,11.01,No,Yes,No,No,No,office,office
R7,2023-08-04,15.934001,2.1999998,12.41,No,No,No,No,Yes,office,office
R8,2023-08-04,15.934001,2.1999998,7.01,No,No,No,No,No,home,home
R9,2023-08-04,15.934001,2.1999998,10.31,No,No,No,No,No,office,home
R10,2023-08-04,15.934001,2.1999998,6.83,No,No,No,No,No,office,home
R11,2023-08-04,15.934001,2.1999998,8.68,No,No,No,No,No,office,office
R1,2023-08-07,14.952751,0.6,8.01,No,No,No,No,No,office,home
R2,2023-08-07,14.952751,0.6,6.67,No,No,No,No,No,home,home
R3,2023-08-07,14.952751,0.6,5.7,No,No,No,No,No,office,home
R4,2023-08-07,14.952751,0.6,11.27,No,No,No,No,No,office,office
R5,2023-08-07,14.952751,0.6,9.77,No,No,No,No,No,office,office
R6,2023-08-07,14.952751,0.6,11.01,No,No,No,No,No,office,office
R7,2023-08-07,14.952751,0.6,12.41,No,Yes,No,No,No,office,office
R8,2023-08-07,14.952751,0.6,7.66,No,Yes,No,No,No,office,office
R9,2023-08-07,14.952751,0.6,5.18,No,No,No,No,No,office,home
R10,2023-08-07,14.952751,0.6,9.8,No,No,No,No,No,office,home
R11,2023-08-07,14.952751,0.6,5.8,No,No,No,No,No,home,home
R1,2023-08-08,14.76942,0.4,8.01,No,No,No,No,No,office,office
R2,2023-08-08,14.76942,0.4,13.41,No,No,No,No,No,home,office
R3,2023-08-08,14.76942,0.4,8.32,No,No,No,No,No,home,office
R4,2023-08-08,14.76942,0.4,11.27,No,No,No,No,No,home,home
R5,2023-08-08,14.76942,0.4,9.77,No,No,No,No,No,office,home
R6,2023-08-08,14.76942,0.4,11.01,Yes,No,No,No,Yes,office,office
R7,2023-08-08,14.76942,0.4,12.41,No,No,No,No,No,office,office
R8,2023-08-08,14.76942,0.4,14.96,No,No,No,No,No,office,office
R9,2023-08-08,14.76942,0.4,5.18,No,Yes,No,No,No,office,office
R10,2023-08-08,14.76942,0.4,9.8,No,Yes,No,No,No,office,office
R11,2023-08-08,14.76942,0.4,8.08,No,No,No,No,Yes,home,home
R1,2023-08-09,16.27775,0.0,8.01,No,Yes,No,No,No,office,office
R2,2023-08-09,16.27775,0.0,13.41,No,No,No,No,No,office,home
R3,2023-08-09,16.27775,0.0,14.51,No,No,No,No,No,office,office
R4,2023-08-09,16.27775,0.0,10.07,No,No,No,No,No,home,home
R5,2023-08-09,16.27775,0.0,9.77,No,No,No,No,Yes,home,office
R6,2023-08-09,16.27775,0.0,11.01,No,No,No,No,No,office,office
R7,2023-08-09,16.27775,0.0,12.41,No,No,No,No,No,home,office
R8,2023-08-09,16.27775,0.0,7.66,No,No,No,No,No,office,office
R9,2023-08-09,16.27775,0.0,5.18,No,No,No,No,No,office,office
R10,2023-08-09,16.27775,0.0,9.8,No,No,No,No,Yes,office,home
R11,2023-08-09,16.27775,0.0,8.68,No,Yes,No,No,No,office,office
R1,2023-08-10,19.442335,0.0,8.01,No,No,No,No,Yes,office,home
R2,2023-08-10,19.442335,0.0,13.41,No,Yes,No,No,Yes,office,office
R3,2023-08-10,19.442335,0.0,9.85,No,Yes,No,No,No,office,office
R4,2023-08-10,19.442335,0.0,7.9,Yes,No,No,No,Yes,office,office
R5,2023-08-10,19.442335,0.0,9.77,No,No,No,No,No,office,office
R6,2023-08-10,19.442335,0.0,8.54,No,No,No,No,No,office,office
R7,2023-08-10,19.442335,0.0,6.63,No,No,No,No,Yes,office,home
R8,2023-08-10,19.442335,0.0,7.66,No,No,No,No,No,home,home
R9,2023-08-10,19.442335,0.0,5.18,No,No,No,No,No,home,office
R10,2023-08-10,19.442335,0.0,9.8,No,No,No,No,No,office,home
R11,2023-08-10,19.442335,0.0,8.68,No,No,No,No,No,home,office
R1,2023-08-11,20.579834,0.0,6.88,No,No,No,No,No,office,home
R2,2023-08-11,20.579834,0.0,9.46,No,No,No,No,No,office,home
R3,2023-08-11,20.579834,0.0,8.99,No,No,No,No,Yes,home,home
R4,2023-08-11,20.579834,0.0,11.27,Yes,Yes,No,No,No,office,office
R5,2023-08-11,20.579834,0.0,9.68,No,Yes,No,No,No,office,office
R6,2023-08-11,20.579834,0.0,11.01,No,No,No,No,No,office,home
R7,2023-08-11,20.579834,0.0,12.41,No,No,No,No,No,home,home
R8,2023-08-11,20.579834,0.0,7.66,No,No,No,No,Yes,home,home
R9,2023-08-11,20.579834,0.0,5.18,Yes,No,No,No,Yes,office,office
R10,2023-08-11,20.579834,0.0,9.8,No,No,No,No,No,office,home
R11,2023-08-11,20.579834,0.0,8.68,No,No,No,No,No,home,office
R1,2023-08-14,18.765251,3.0999997,8.01,No,No,No,No,No,office,office
R2,2023-08-14,18.765251,3.0999997,13.41,No,No,No,No,No,home,office
R3,2023-08-14,18.765251,3.0999997,8.32,No,No,No,No,No,home,home
R4,2023-08-14,18.765251,3.0999997,6.17,Yes,No,No,No,No,office,office
R5,2023-08-14,18.765251,3.0999997,9.77,No,No,No,No,Yes,office,home
R6,2023-08-14,18.765251,3.0999997,13.85,No,Yes,No,No,No,office,office
R7,2023-08-14,18.765251,3.0999997,12.41,No,Yes,No,No,No,office,office
R8,2023-08-14,18.765251,3.0999997,5.16,No,No,No,No,No,office,home
R9,2023-08-14,18.765251,3.0999997,11.79,No,No,No,No,No,home,home
R10,2023-08-14,18.765251,3.0999997,9.8,No,No,No,No,No,office,home
R11,2023-08-14,18.765251,3.0999997,9.51,Yes,No,No,No,No,office,office
R1,2023-08-15,17.713167,0.3,6.66,No,No,No,No,No,office,home
R2,2023-08-15,17.713167,0.3,13.41,No,No,No,No,No,home,office
R3,2023-08-15,17.713167,0.3,8.32,No,No,No,No,No,office,home
R4,2023-08-15,17.713167,0.3,11.27,No,No,No,No,Yes,office,office
R5,2023-08-15,17.713167,0.3,9.77,No,No,No,No,No,office,office
R6,2023-08-15,17.713167,0.3,11.01,No,No,No,No,No,office,office
R7,2023-08-15,17.713167,0.3,12.41,No,No,No,No,No,home,home
R8,2023-08-15,17.713167,0.3,14.21,No,Yes,No,No,Yes,office,office
R9,2023-08-15,17.713167,0.3,5.18,Yes,Yes,No,No,Yes,office,office
R10,2023-08-15,17.713167,0.3,9.8,No,No,No,No,No,office,home
R11,2023-08-15,17.713167,0.3,8.68,No,No,No,No,Yes,home,home
R1,2023-08-16,18.00275,0.90000004,13.48,No,No,No,No,No,home,home
R2,2023-08-16,18.00275,0.90000004,13.41,No,No,No,No,Yes,home,office
R3,2023-08-16,18.00275,0.90000004,8.32,No,No,No,No,Yes,office,office
R4,2023-08-16,18.00275,0.90000004,11.27,No,No,No,No,No,home,office
R5,2023-08-16,18.00275,0.90000004,6.09,No,No,No,No,No,office,office
R6,2023-08-16,18.00275,0.90000004,11.01,No,No,No,No,No,home,office
R7,2023-08-16,18.00275,0.90000004,12.41,No,No,No,No,No,office,office
